edge_id,source_id,target_id,dt,distance_um,probability,cost
0,90000000036,91000000036,1,2.4375,0.9669840335845947,-3.3771907088011055
1,91000000036,92000000036,1,2.601269245147705,0.970349133014679,-3.4881645720129213
2,92000000036,93000000036,1,0.40625,0.9695888161659241,-3.462061650729867
3,93000000036,94000000036,1,2.071476697921753,0.9702694416046143,-3.4853983887221323
4,94000000036,95000000036,1,2.4375,0.9694469571113586,-3.457261477380088
5,95000000036,96000000036,1,2.725207805633545,0.969891369342804,-3.472372211405747
6,96000000036,97000000036,1,3.3500232696533203,0.9712792038917542,-3.5209925061445473
7,97000000036,98000000036,1,2.333728551864624,0.9719464182853699,-3.545184363542045
8,98000000036,99000000036,1,0.40625,0.9721348285675049,-3.5521169341044283
9,99000000036,100000000036,1,2.9295103549957275,0.9720523953437805,-3.549078212783455
10,100000000036,101000000036,1,2.9575445652008057,0.9720920324325562,-3.5505382595984907
11,101000000036,102000000036,1,2.3688242435455322,0.9719074368476868,-3.543755685534566
12,102000000036,103000000036,1,3.3003907203674316,0.9720735549926758,-3.5498573858317886
13,103000000036,104000000036,1,3.3003907203674316,0.9722007513046265,-3.5545533224140686
14,104000000036,105000000036,1,1.6750116348266602,0.9720430374145508,-3.548733803474151
15,105000000036,106000000036,1,1.8168052434921265,0.9722064137458801,-3.554762857940726
16,106000000036,107000000036,1,3.7454400062561035,0.9719618558883667,-3.545750687975567
17,107000000036,108000000036,1,0.9084026217460632,0.9721898436546326,-3.55414980764946
18,108000000036,109000000036,1,2.9575445652008057,0.9720765948295593,-3.549969370471311
19,109000000036,110000000036,1,2.632800817489624,0.9720868468284607,-3.5503471314834516
20,110000000036,111000000036,1,1.8616713285446167,0.9722389578819275,-3.5559679404783235
21,111000000036,112000000036,1,4.958913326263428,0.9717569351196289,-3.5382577699448867
22,112000000036,113000000036,1,1.8616713285446167,0.9722865223884583,-3.557731685905838
23,113000000036,114000000036,1,4.082761764526367,0.9718843698501587,-3.5429111815346497
24,114000000036,115000000036,1,0.9084026217460632,0.9719886183738708,-3.546733180670622
25,115000000036,116000000036,1,1.7235727310180664,0.9720958471298218,-3.5506788816132455
26,116000000036,117000000036,1,0.9084026217460632,0.972008466720581,-3.5474624334699953
27,117000000036,118000000036,1,2.071476697921753,0.9719728827476501,-3.5461553908577854
28,118000000027,119000000027,1,3.275292158126831,0.9689119458198547,-3.4393501011419034
29,118000000036,119000000036,1,0.5745242834091187,0.9716128706932068,-3.533021594924386
30,119000000027,120000000027,1,1.6750116348266602,0.9700945019721985,-3.4793511474443886
31,119000000036,120000000036,1,4.3375630378723145,0.9715357422828674,-3.5302288739362937
32,120000000027,121000000028,1,1.7235727310180664,0.9684644937515259,-3.4245977275731483
33,120000000036,121000000037,1,5.1547346115112305,0.9713668823242188,-3.5241402280045904
34,121000000028,122000000028,1,0.0,0.9670078158378601,-3.3779358881399566
35,121000000037,122000000037,1,0.9084026217460632,0.9719724059104919,-3.546137886994034
36,122000000028,123000000028,1,0.5745242834091187,0.9691986441612244,-3.448910880265592
37,122000000037,123000000037,1,2.071476697921753,0.9718968868255615,-3.543369355991426
38,123000000028,124000000028,1,2.071476697921753,0.968532145023346,-3.4268151249622547
39,123000000037,124000000037,1,1.8616713285446167,0.9719150066375732,-3.5440329692606585
40,124000000028,125000000028,1,0.9084026217460632,0.9670381546020508,-3.3788872588577408
41,124000000037,125000000037,1,1.1490485668182373,0.9715495109558105,-3.530726880904946
42,125000000028,126000000029,1,1.625,0.9658949971199036,-3.3436110441161504
43,125000000037,126000000038,1,1.8616713285446167,0.9715551137924194,-3.5309296000653227
44,126000000029,127000000029,1,0.9084026217460632,0.9666947722434998,-3.3681684272689494
45,126000000038,127000000038,1,0.9084026217460632,0.9712645411491394,-3.520467012958445
46,127000000029,128000000029,1,1.2846752405166626,0.9673704504966736,-3.389363210344273
47,127000000038,128000000038,1,2.071476697921753,0.9716794490814209,-3.5354382431978215
48,128000000038,129000000039,1,2.333728551864624,0.9714014530181885,-3.5253839140051046
